Model,Relevance_story_pearson,Coherence_story_pearson,Empathy_story_pearson,Surprise_story_pearson,Engagement_story_pearson,Complexity_story_pearson,Relevance_system_pearson,Coherence_system_pearson,Empathy_system_pearson,Surprise_system_pearson,Engagement_system_pearson,Complexity_system_pearson
SummaQA ΞΔ,0.08599746764980792,0.10943342154734768,0.09627378874173498,0.20005057440834237,0.1882419274365011,0.2804684410170159,0.7160752213583439,0.5706093856478807,0.6104611457478212,0.7698248761641536,0.6990430315554131,0.8015197370844291
InfoLM-FisherRao ΞΔ,0.16358022607246825,0.1665016978806932,0.13849040943959598,0.07173243527640057,0.16476078875365635,0.22087613215949306,0.6076421448392536,0.6609881356312647,0.7275344696435305,0.6979235593628808,0.7591861111624508,0.7546815394978897
InfoLM-R-FisherRao ΞΔ,0.16358022607246825,0.1665016978806932,0.13849040943959598,0.07173243527640057,0.16476078875365635,0.22087613215949306,0.6076421448392536,0.6609881356312647,0.7275344696435305,0.6979235593628808,0.7591861111624508,0.7546815394978897
InfoLM-Sim-FisherRao ΞΔ,0.16358022607246825,0.1665016978806932,0.13849040943959598,0.07173243527640057,0.16476078875365635,0.22087613215949306,0.6076421448392536,0.6609881356312647,0.7275344696435305,0.6979235593628808,0.7591861111624508,0.7546815394978897
BARTScore-SH ΞΔ,0.03579225929340857,0.06997896748908344,0.14538071120094773,0.05252030247035731,0.10595468854278398,0.09480217773591587,0.7762428475380885,0.8647014618772779,0.8783120560868272,0.9264834479028671,0.924440135230139,0.9383456473213551
BARTScore-HS ΞΔ,0.03711347558415752,0.16930257303592283,0.04074384785647546,0.18646733095449866,0.19055055423317815,0.26839817271425287,0.28999928771786815,0.4622460809803372,0.3994588271397619,0.5866091090089437,0.567385191570287,0.5984675750909559
SUPERT-Golden ΞΔ,0.2574266531835896,0.23394213628152544,0.21253773793242126,0.12039323159980524,0.2463593229885016,0.25184155276654696,0.7263922907003761,0.8595667447075664,0.8810296639959031,0.8982884396390614,0.9220951766131081,0.9311708506114472
BLANC-Golden ΞΔ,0.1151175708227649,0.06475597939752402,0.022110125125350634,0.029897395465574524,0.058864766777219274,0.08584001004590093,0.32537652652801086,0.5985091785024521,0.4691204507811089,0.6945545833187936,0.6568712280572698,0.6760163773180161
Coverage ¤§,0.1151328651985974,0.051494024431381374,0.09754163531254662,0.10109982434709966,0.08935775958215321,0.08305650963140361,0.3961913311798662,0.7364992846683077,0.6344837914124106,0.7295300542386645,0.7802979566439565,0.748309329907854
Density ¤§,0.14714583736186565,0.020440025553699778,0.03923645635189807,0.08123072447858393,0.08387598273617118,0.08296754542979967,0.3348534629516976,0.807020714992303,0.7075424248186225,0.7431305737178042,0.8360009819024251,0.7975740549775504
Compression ¤§,0.08540872806564784,0.18600705014414476,0.20004962771625565,0.20030514771889044,0.27132885943859675,0.3218242061985469,0.6786673497143223,0.8065703052592231,0.7878114280537619,0.8923665336787563,0.8876428862578403,0.9431277884864728
Text length ¤§,0.1510802899423578,0.23342281781069946,0.21404851893441368,0.24420048373353526,0.30834683264062523,0.4705561034643252,0.7422371254504144,0.5697375660600462,0.576649773821545,0.7511545604425429,0.677700344564788,0.8180573196009424
Novelty-1 ¤§,0.051776160499338475,0.2326337748189778,0.19424917596027164,0.23877169799053877,0.30026851522105646,0.34191893319393607,0.5253644961007975,0.8392625833328042,0.7634792984682679,0.8606822728747079,0.8964689967821696,0.9055481982355293
Novelty-2 ¤§,0.15281179668553113,0.07915066371543575,0.06297532813788988,0.10977704058999696,0.14086034856729007,0.14473385980333975,0.32133817737825765,0.8155819868423619,0.7199514226797353,0.7446332516924462,0.8409227754031607,0.802023559589668
Novelty-3 ¤§,0.15284055883905562,0.020562163659597954,0.029103003129441855,0.0747963534998953,0.0857387660138453,0.08646306305234347,0.2883295559001623,0.7939021715176198,0.6906220467324048,0.7191810906132272,0.818589900057975,0.7816143277188994
Repetition-1 ¤§,0.08659962449071332,0.3324467532118177,0.15073520760561912,0.2694825057788852,0.33579105724413555,0.40061681591103926,0.5000278718914434,0.7834984778208832,0.6829669661171103,0.8436610971939207,0.8399736827393494,0.8273646554793292
Repetition-2 ¤§,0.06865782688225686,0.35395258058796025,0.1916353643371962,0.2732093940485187,0.36083777604726985,0.42175102734663994,0.4628178230583522,0.8219304357675428,0.7329474696988739,0.8311684132362503,0.8701888751517094,0.8442941122897932
Repetition-3 ¤§,0.06296462319170895,0.3631155816990698,0.20232346900722603,0.26812061404716886,0.36514878056742395,0.42291248204359533,0.4308784814492138,0.8349069730083833,0.7537939319066318,0.8101474707473934,0.8750217086404364,0.8405672722369741
SUPERT-PS ¤ε,0.3912388059217534,0.03547911209293572,0.006169890806242896,0.000865183007902913,0.032014831091910764,0.05409721570796652,0.2903296841173783,0.45458616044909983,0.27241840968160913,0.25191863426660377,0.4008346159306759,0.3291815368167135
SUPERT-SS ¤ε,0.3891310070278191,0.04158043814847103,0.0077151603111575776,0.005937132016274004,0.033688343249351965,0.058440884510441445,0.28703051273926683,0.44564812231374595,0.2559285712103241,0.24339068134740627,0.3904387606756696,0.3086642558292929
BLANC-Tune-PS ¤Δ,0.1495835676151177,0.04645760638148938,0.07743482444125889,0.063067554312197,0.09872980726695652,0.07088057111500308,0.11114270178103247,0.7501574193483888,0.606669418562808,0.6215680350709618,0.7401319159600847,0.6812538123444922
BLANC-Help-PS ¤Δ,0.16924619557603077,0.0007420878011740843,0.03756427392180817,0.04004029237776354,0.0482385059009445,0.023237809471541887,0.02103867421072242,0.6721202346303258,0.514166790570034,0.4672010122753756,0.6147488058431383,0.5404386483041197
BLANC-Tune-SS ¤Δ,0.16231201101104759,0.00031743646334284406,0.008279491187673217,0.030017290027500046,0.001261181645591608,0.0045501873359531375,0.4884960241644263,0.26069770283073784,0.018620582375803385,0.09370530297957352,0.1856660174415811,0.10198761250577387
BLANC-Help-SS ¤Δ,0.16141626812554627,0.01678781917879888,0.022063173347849973,0.02518574367588619,0.007627951303919337,0.01052136431506448,0.6425406617034779,0.05921237513847019,0.16027586233350472,0.0960393485225984,0.00028771196417815004,0.04963555031309386
BARTScore-PS ¤Δ,0.018121392601699704,0.20370648245374973,0.09446944985932146,0.22608210331295087,0.2427282938974215,0.32274767427369155,0.33548923613330905,0.5364957749097748,0.4589068681221104,0.6479837762072909,0.6339548704087635,0.6635612173390188
BARTScore-SP ¤Δ,0.19589542895910983,0.026504395368389465,0.004446582814759532,0.00491691098347944,0.04178245794078901,0.09012759624174421,0.7239988269630302,0.11584942969891829,0.20353884337987038,0.382574384025031,0.2065433086593928,0.3389378302230531
