Model,Relevance_story_pearson,Coherence_story_pearson,Empathy_story_pearson,Surprise_story_pearson,Engagement_story_pearson,Complexity_story_pearson,Relevance_story_spearman,Coherence_story_spearman,Empathy_story_spearman,Surprise_story_spearman,Engagement_story_spearman,Complexity_story_spearman,Relevance_story_kendall,Coherence_story_kendall,Empathy_story_kendall,Surprise_story_kendall,Engagement_story_kendall,Complexity_story_kendall
MoverScore Ξε,0.23408332811983526,0.29130290224534794,0.21469583602978498,0.1784492527701216,0.3088545788994531,0.36928581671440475,0.2236432493304984,0.22316364434826355,0.20613878551430612,0.17503366418920777,0.27642196280376863,0.3412738864486274,0.16030910703206952,0.1607059063458033,0.14904435538293956,0.1264254012075637,0.1982258086721446,0.24961168269811593
DepthScore Ξε,0.11529268451629571,0.2839161459687457,0.22975111594564235,0.212984426367643,0.32482047431220445,0.3807355792819895,0.1089680251637702,0.23891544452244814,0.21951966571177262,0.22875757819510267,0.2943661005605641,0.36613656305402537,0.07721848506213028,0.1715041592622227,0.15745814963842805,0.164911911808544,0.21190797507214928,0.26483267758657103
BaryScore-W Ξε,0.16076408672283748,0.2669526234966154,0.25153814644801514,0.17691707587708,0.30215650532154714,0.36641341088404694,0.16173867166541656,0.21563376261202996,0.24123976644265147,0.1752329777718865,0.2722599293731512,0.3328750425898569,0.11578968665916367,0.15434290266305947,0.1733889553911471,0.1261015449124435,0.19482042801343222,0.24047347088835483
BaryScore-SD-10 Ξε,0.004583705902529829,0.03070576633331147,0.08173294277769859,0.03204256378282068,0.014768620724632614,0.04228918328935144,0.0022021614828845247,0.025034921751059314,0.08770791619506445,0.026946964473723193,0.0007063424838928708,0.03585395417004765,0.0016576625193225948,0.017524183475882707,0.0624226532515178,0.019324219374270205,0.0005131395513128258,0.024983861729759027
BaryScore-SD-5 Ξε,0.0054341900865585435,0.030099326422899874,0.08220452330212775,0.031780548854450114,0.014077128696671323,0.04146253205788694,0.003028422040323928,0.0244328171692184,0.08849634667393429,0.026431846739474178,0.0015002607723600269,0.0350726984258007,0.002224818263068573,0.017090556558243868,0.06303772414854292,0.018919399005369906,0.0010029545775659776,0.024413015933143125
BaryScore-SD-1 Ξε,0.013123309700227286,0.02463500383962487,0.08597257452275707,0.029958135991748094,0.0083326518870318,0.03480459135287317,0.009009221868767119,0.01988063514625492,0.09396342123216933,0.02264537180282575,0.007861468695464863,0.02821613533032397,0.00630557300465549,0.013819501331707394,0.06689717664743329,0.016176145681998464,0.005476598484011432,0.019691840451295226
BaryScore-SD-0.5 Ξε,0.025473905332878938,0.014932814450289711,0.09094889776728765,0.027674737301368258,0.0004396756341129224,0.02521087030162311,0.019750329038733003,0.011823190134298353,0.1022551164307536,0.017786704639278308,0.018263910400761453,0.019166335313341536,0.013415769401861167,0.008361458172731555,0.0725971466397118,0.012523237176745165,0.012907792168023537,0.013220695068346125
BaryScore-SD-0.1 Ξε,0.13094770817916895,0.1596938063157321,0.18724151392711896,0.0761243030007776,0.17832946029579771,0.1974942032106392,0.12365076851453152,0.13422582328269678,0.18874329120097397,0.08600373500476803,0.17482313306366143,0.18788428795538845,0.08800827726022449,0.095237668454461,0.13530620695014967,0.060906415149193975,0.1239325314520713,0.1332995121056728
BaryScore-SD-0.01 Ξε,0.16068964836934185,0.2694887238710545,0.252228911885047,0.1782693610674107,0.3037713464209164,0.36783440260653955,0.16168157699600164,0.21728086151687548,0.2417163925620132,0.17605729452235627,0.2732118528067991,0.33392197919002925,0.11581735279300495,0.15548352998989207,0.1737457904153754,0.12677307046556044,0.19549217433515084,0.24125955362467835
BaryScore-SD-0.001 Ξε,0.06238764468818496,0.01570053697050233,0.01672989982005323,0.03399871308988528,0.03274295322487685,0.04879518935358073,0.08888289511490398,0.19603069140894513,0.1133447318721595,0.17600120263626895,0.20162361819982966,0.2811893732544023,0.06323786542767658,0.14037257457739075,0.08099216010445145,0.12714455268643365,0.14319392424635002,0.20192734242506147
S3-Pyramid ΞΔ,0.1948005306770406,0.2746564079307674,0.2655043031328544,0.2005685559787116,0.30245937031703946,0.4064346829043368,0.19613915268523166,0.25876179231764107,0.2716794276626752,0.239024298278401,0.3145914924257315,0.4196864559983744,0.1383237526728758,0.18616263441284003,0.19450325939055108,0.17233203104085773,0.2259866583981685,0.3063406535027977
S3-Responsiveness ΞΔ,0.21415737872090226,0.2711554572556355,0.2572498919401504,0.1824599286663044,0.2934658649823882,0.3871592168481331,0.21645159575389328,0.2593834189678493,0.26282394910878953,0.2238067290172101,0.3093534053049317,0.4054967762161804,0.1531620224564088,0.18642658123227238,0.1881318761290009,0.1608779958972669,0.22189553670270168,0.2955507321339758
SummaQA ΞΔ,0.08599746764980792,0.10943342154734768,0.09627378874173498,0.20005057440834237,0.1882419274365011,0.2804684410170159,0.0695422806748121,0.08750424921739564,0.08820254620978948,0.21419309105485862,0.18070627636216152,0.2915500949633641,0.04779687046445697,0.06116731720689376,0.06314993975055509,0.15508239664308626,0.1275953383586444,0.21153261084177832
InfoLM-FisherRao ΞΔ,0.16358022607246825,0.1665016978806932,0.13849040943959598,0.07173243527640057,0.16476078875365635,0.22087613215949306,0.1573510918241672,0.12482301217962091,0.13481157693013962,0.0752099430655641,0.15038998386396255,0.20555874101373997,0.11067606292083611,0.0882713577558718,0.09579142321455181,0.05298146110389869,0.1062432116468146,0.14692962526585412
InfoLM-R-FisherRao ΞΔ,0.16358022607246825,0.1665016978806932,0.13849040943959598,0.07173243527640057,0.16476078875365635,0.22087613215949306,0.1573510918241672,0.12482301217962091,0.13481157693013962,0.0752099430655641,0.15038998386396255,0.20555874101373997,0.11067606292083611,0.0882713577558718,0.09579142321455181,0.05298146110389869,0.1062432116468146,0.14692962526585412
